TRIP
DATE 2006-08-12 
DECLINATION     0.00
DATA
-12.617	-4.863	-11.451	-9.403
-12.867	-3.484	-12.617	-4.863
-13.136	-1.180	-12.867	-3.484
-12.867	-3.484	-12.321	-4.582
-12.867	-3.484	-12.446	-3.220
-12.867	-3.484	-12.579	-3.057
-12.867	-3.484	-12.697	-2.739
-12.867	-3.484	-12.712	-1.981
-12.867	-3.484	-13.470	-1.749
-12.867	-3.484	-13.340	-1.385
-12.867	-3.484	-13.125	-0.962
-11.672	-0.940	-13.136	-1.180
-13.136	-1.180	-13.014	-0.536
-13.136	-1.180	-12.598	-0.437
-13.136	-1.180	-12.302	-0.448
-13.136	-1.180	-12.672	-1.266
-13.136	-1.180	-10.086	-3.965
-13.136	-1.180	-12.676	-2.046
-13.136	-1.180	-12.799	-2.019
-12.161	2.831	-11.672	-0.940
-11.672	-0.940	-11.995	-0.176
-11.672	-0.940	-12.094	-0.434
-11.672	-0.940	-12.220	-0.595
-11.672	-0.940	-12.622	-0.673
-11.672	-0.940	-11.523	-0.158
-11.672	-0.940	-11.311	-0.193
-11.672	-0.940	-11.053	-0.360
-11.672	-0.940	-10.809	-0.567
-11.672	-0.940	-11.076	-0.967
-13.253	2.885	-12.161	2.831
-12.161	2.831	-12.377	2.472
-12.161	2.831	-12.651	3.209
-12.161	2.831	-12.792	2.645
-12.161	2.831	-13.456	2.805
-12.161	2.831	-11.800	2.275
-12.161	2.831	-11.813	1.748
-12.161	2.831	-11.846	1.461
-12.161	2.831	-12.289	2.072
-12.161	2.831	-12.269	0.914
-12.161	2.831	-11.995	0.347
-14.158	3.900	-13.253	2.885
-13.253	2.885	-13.533	3.459
-13.253	2.885	-14.085	3.655
-13.253	2.885	-14.024	3.087
-15.406	3.611	-14.158	3.900
-14.158	3.900	-14.627	3.635
-14.158	3.900	-14.292	3.372
-12.020	10.429	-11.269	10.944
-11.269	10.944	-10.631	10.708
-11.269	10.944	-10.325	10.672
-11.269	10.944	-10.341	10.732
-11.269	10.944	-10.574	10.691
-12.231	10.546	-12.020	10.429
-12.020	10.429	-12.019	10.526
-12.020	10.429	-11.545	10.715
-12.020	10.429	-11.050	10.872
-12.020	10.429	-10.978	10.993
-12.020	10.429	-11.040	11.050
-12.020	10.429	-10.705	10.917
-11.953	11.572	-12.231	10.546
-12.231	10.546	-11.689	11.233
-12.231	10.546	-11.810	10.597
-12.231	10.546	-11.946	10.455
-12.231	10.546	-12.196	11.096
-12.231	10.546	-12.469	10.800
-12.231	10.546	-12.667	11.181
-12.660	10.971	-11.953	11.572
-13.067	11.448	-12.660	10.971
-12.660	10.971	-12.569	11.367
-12.660	10.971	-12.002	11.605
-12.660	10.971	-11.868	11.407
-12.660	10.971	-11.759	11.313
-12.660	10.971	-13.362	11.039
-12.660	10.971	-13.223	11.332
-12.660	10.971	-13.017	11.377
-12.660	10.971	-13.021	11.715
-12.660	10.971	-12.885	12.085
-12.660	10.971	-12.645	11.840
-12.357	9.682	-13.067	11.448
-13.067	11.448	-12.502	10.707
-13.067	11.448	-12.613	10.712
-13.067	11.448	-13.203	11.190
-13.067	11.448	-13.073	11.012
-13.067	11.448	-12.305	11.088
-13.067	11.448	-12.148	11.293
-13.067	11.448	-12.283	11.440
-13.067	11.448	-14.063	11.497
-13.067	11.448	-12.657	9.750
-13.067	11.448	-12.484	10.293
-10.621	9.397	-12.357	9.682
-12.357	9.682	-12.162	10.365
-12.357	9.682	-11.583	10.298
-12.357	9.682	-12.397	9.381
-12.357	9.682	-11.745	9.302
-12.357	9.682	-11.941	9.630
-12.357	9.682	-12.181	10.035
-12.357	9.682	-12.773	9.970
-12.357	9.682	-13.130	9.837
-12.357	9.682	-12.851	9.577
-12.357	9.682	-12.452	9.342
-11.515	6.512	-10.621	9.397
-10.621	9.397	-10.737	8.039
-10.621	9.397	-10.871	7.508
-10.621	9.397	-11.060	8.276
-10.621	9.397	-11.313	7.466
-10.621	9.397	-11.176	8.937
-10.621	9.397	-10.164	9.624
-10.621	9.397	-10.325	9.099
-10.621	9.397	-10.443	8.220
-10.621	9.397	-10.665	8.099
-10.621	9.397	-10.596	10.128
-10.621	9.397	-10.970	10.943
-10.621	9.397	-11.570	10.765
-10.621	9.397	-12.151	10.361
-10.621	9.397	-11.580	8.931
-10.621	9.397	-11.831	9.432
-10.621	9.397	-11.505	9.905
-10.621	9.397	-11.001	10.306
-10.621	9.397	-10.886	10.434
-10.621	9.397	-10.800	10.130
-10.621	9.397	-10.628	9.394
-10.621	9.397	-10.827	8.943
-10.621	9.397	-10.813	10.695
-10.621	9.397	-11.247	10.494
-15.406	3.611	-16.327	2.485
-16.327	2.485	-15.365	3.348
-16.327	2.485	-15.424	2.897
-16.327	2.485	-15.409	2.469
-16.327	2.485	-16.153	3.262
-16.327	2.485	-15.669	2.100
-16.327	2.485	-16.391	2.700
-14.557	0.638	-13.833	0.674
-16.239	1.807	-14.557	0.638
-14.557	0.638	-14.751	0.405
-14.557	0.638	-14.660	0.791
-14.557	0.638	-14.627	0.630
-14.557	0.638	-14.649	0.652
-14.557	0.638	-14.361	0.346
-14.557	0.638	-14.030	0.336
-14.557	0.638	-13.749	0.766
-16.753	2.165	-16.239	1.807
-17.930	2.635	-16.753	2.165
-16.753	2.165	-16.555	2.462
-16.753	2.165	-17.566	2.931
-16.753	2.165	-17.096	2.764
-16.753	2.165	-17.199	2.045
-16.753	2.165	-17.243	1.470
-16.753	2.165	-16.976	1.571
-16.753	2.165	-16.530	1.491
-16.753	2.165	-16.743	2.144
-16.753	2.165	-15.850	1.694
-16.753	2.165	-16.760	2.195
-16.753	2.165	-16.161	1.620
-16.753	2.165	-15.211	0.866
-16.753	2.165	-15.611	1.535
-16.753	2.165	-15.575	1.399
-16.753	2.165	-15.618	1.344
-16.753	2.165	-15.231	1.012
-17.860	1.391	-17.758	0.496
-17.758	0.496	-17.203	0.877
-17.758	0.496	-17.958	0.243
-17.758	0.496	-18.462	0.548
-17.758	0.496	-18.836	0.745
-17.758	0.496	-18.269	0.899
-17.758	0.496	-18.881	0.963
-17.758	0.496	-17.497	-0.090
-17.758	0.496	-17.311	-0.254
-17.758	0.496	-17.403	0.063
-17.758	0.496	-17.653	0.854
-17.758	0.496	-18.101	1.234
-17.758	0.496	-18.364	1.150
-17.758	0.496	-17.909	1.007
-17.758	0.496	-17.799	0.514
-17.758	0.496	-18.823	0.966
-17.758	0.496	-19.363	1.173
-17.758	0.496	-17.098	0.950
-17.758	0.496	-17.297	0.480
-17.758	0.496	-16.094	0.808
-17.758	0.496	-15.834	0.556
-17.930	2.635	-17.860	1.391
-17.860	1.391	-17.852	1.699
-17.860	1.391	-17.764	1.591
-17.860	1.391	-17.870	1.212
-17.860	1.391	-18.250	1.157
-17.860	1.391	-17.524	0.933
-17.860	1.391	-18.061	1.290
-18.513	4.809	-17.930	2.635
-17.930	2.635	-17.784	2.889
-17.930	2.635	-18.598	3.921
-17.930	2.635	-18.814	3.522
-17.930	2.635	-19.005	3.031
-17.930	2.635	-17.801	3.293
-17.930	2.635	-18.256	3.704
-17.930	2.635	-18.118	2.738
-17.930	2.635	-18.831	1.626
-17.930	2.635	-18.793	2.071
-17.930	2.635	-18.145	1.199
-17.930	2.635	-17.818	1.986
-17.930	2.635	-17.439	1.543
-17.930	2.635	-17.275	1.805
-17.930	2.635	-17.306	2.128
-18.232	5.364	-18.513	4.809
-18.513	4.809	-18.179	4.911
-18.513	4.809	-18.617	4.760
-18.513	4.809	-18.332	4.711
-18.513	4.809	-18.572	4.271
-18.513	4.809	-17.931	3.509
-18.513	4.809	-18.212	3.922
-19.557	5.494	-20.779	5.058
-18.232	5.364	-19.557	5.494
-19.557	5.494	-19.536	5.703
-19.557	5.494	-20.156	5.657
-19.557	5.494	-20.012	5.516
-19.557	5.494	-19.721	5.476
-19.557	5.494	-21.015	5.228
-19.557	5.494	-20.433	4.852
-19.458	7.707	-21.335	8.662
-21.335	8.662	-20.244	7.544
-21.335	8.662	-21.145	8.612
-21.335	8.662	-21.161	8.614
-21.335	8.662	-20.956	8.864
-18.232	5.364	-19.458	7.707
-19.458	7.707	-19.627	7.371
-19.458	7.707	-19.437	7.594
-19.458	7.707	-19.447	7.624
-19.458	7.707	-19.247	6.860
-19.458	7.707	-20.062	7.619
-19.458	7.707	-20.805	7.806
-19.458	7.707	-20.837	8.213
-17.052	6.274	-18.232	5.364
-18.232	5.364	-17.765	5.228
-18.232	5.364	-18.050	4.973
-18.232	5.364	-17.993	5.671
-18.232	5.364	-18.174	4.455
-18.232	5.364	-18.527	4.788
-18.232	5.364	-18.290	5.353
-18.232	5.364	-18.264	5.851
-18.232	5.364	-18.877	6.001
-18.232	5.364	-18.937	5.471
-18.232	5.364	-19.024	5.164
